Previous period: 2014-03-16 to 2020-03-14
Current period: 2020-03-14 to 2026-03-13

Fetching user first contributions...
Fetching activities since 2014-03-16...

============================================================
RETENTION OF NEWCOMERS
============================================================
Total newcomers: 142
Retained: 9
Retention rate: 6.3%

Newcomers:
  ctoestreich          | First: 2017-05-05 | Latest: 2017-05-05 | Current activities:  0 | ❌ Not retained
  darrellsnow          | First: 2020-01-17 | Latest: 2020-01-17 | Current activities:  0 | ❌ Not retained
  dilbertside          | First: 2016-11-14 | Latest: 2016-11-14 | Current activities:  0 | ❌ Not retained
  dotpanic             | First: 2019-08-23 | Latest: 2019-08-23 | Current activities:  0 | ❌ Not retained
  dvtoever             | First: 2017-05-12 | Latest: 2017-05-12 | Current activities:  0 | ❌ Not retained
  edeandrea            | First: 2018-08-30 | Latest: 2018-08-30 | Current activities:  0 | ❌ Not retained
  elijah-pl            | First: 2019-09-18 | Latest: 2019-09-18 | Current activities:  0 | ❌ Not retained
  fastnsilver          | First: 2017-11-17 | Latest: 2017-11-17 | Current activities:  0 | ❌ Not retained
  fernandosure         | First: 2017-05-16 | Latest: 2017-05-16 | Current activities:  0 | ❌ Not retained
  fethiozdol           | First: 2018-07-29 | Latest: 2018-07-29 | Current activities:  0 | ❌ Not retained
  fillert              | First: 2019-09-13 | Latest: 2019-09-13 | Current activities:  0 | ❌ Not retained
  gbotka               | First: 2016-07-28 | Latest: 2016-07-28 | Current activities:  0 | ❌ Not retained
  gitter-badger        | First: 2014-11-29 | Latest: 2014-11-29 | Current activities:  0 | ❌ Not retained
  gronono              | First: 2015-06-05 | Latest: 2015-06-05 | Current activities:  0 | ❌ Not retained
  gtukmachev           | First: 2018-10-13 | Latest: 2018-10-13 | Current activities:  0 | ❌ Not retained
  herder               | First: 2016-06-10 | Latest: 2016-06-10 | Current activities:  0 | ❌ Not retained
  humb1t               | First: 2017-10-24 | Latest: 2017-10-24 | Current activities:  0 | ❌ Not retained
  imod                 | First: 2019-10-08 | Latest: 2019-10-08 | Current activities:  0 | ❌ Not retained
  itERRatOR            | First: 2017-02-15 | Latest: 2017-02-15 | Current activities:  0 | ❌ Not retained
  jacks808             | First: 2016-11-18 | Latest: 2016-11-18 | Current activities:  0 | ❌ Not retained
  jlisam               | First: 2016-09-30 | Latest: 2016-09-30 | Current activities:  0 | ❌ Not retained
  jmirc                | First: 2017-05-13 | Latest: 2017-05-13 | Current activities:  0 | ❌ Not retained
  joshlong             | First: 2018-01-11 | Latest: 2018-01-11 | Current activities:  0 | ❌ Not retained
  jvmlet               | First: 2016-02-16 | Latest: 2016-02-16 | Current activities:  0 | ❌ Not retained
  klopfdreh            | First: 2019-03-06 | Latest: 2019-03-06 | Current activities:  0 | ❌ Not retained
  kryger               | First: 2017-11-24 | Latest: 2017-11-24 | Current activities:  0 | ❌ Not retained
  lightoze             | First: 2019-06-04 | Latest: 2019-06-04 | Current activities:  0 | ❌ Not retained
  lucash               | First: 2019-02-24 | Latest: 2019-02-24 | Current activities:  0 | ❌ Not retained
  making               | First: 2014-09-29 | Latest: 2014-09-29 | Current activities:  0 | ❌ Not retained
  malike               | First: 2015-01-13 | Latest: 2015-01-13 | Current activities:  0 | ❌ Not retained
  marcosvidolin        | First: 2020-02-13 | Latest: 2020-02-13 | Current activities:  0 | ❌ Not retained
  mariuszluciow        | First: 2015-01-19 | Latest: 2015-01-19 | Current activities:  0 | ❌ Not retained
  michaelmcfadyensky   | First: 2019-07-14 | Latest: 2019-07-14 | Current activities:  0 | ❌ Not retained
  michalwojciechowski  | First: 2017-06-29 | Latest: 2017-06-29 | Current activities:  0 | ❌ Not retained
  micheljung           | First: 2017-05-26 | Latest: 2017-05-26 | Current activities:  0 | ❌ Not retained
