Since            : 2014-01-01 (users with last contribution before this date are dropped)
Leaving threshold: last contribution before 2025-12-20 (90 days ago)

============================================================
NEWCOMER CLASSIFICATION
============================================================
Total newcomers : 1276
Active          : 12 (1%)
Leaving         : 1264 (99%)

Newcomers:
  tengcomplex                    | First: 2024-05-22 | Last: 2024-05-22 | LEAVING
  arikab                         | First: 2024-05-17 | Last: 2024-05-17 | LEAVING
  luanvelasco                    | First: 2024-05-08 | Last: 2024-05-08 | LEAVING
  Muyangmin                      | First: 2024-05-06 | Last: 2024-05-06 | LEAVING
  StefanHufschmidt               | First: 2024-04-30 | Last: 2024-05-02 | LEAVING
  Na3blis                        | First: 2018-09-28 | Last: 2024-04-30 | LEAVING
  ffroliva                       | First: 2024-04-17 | Last: 2024-04-17 | LEAVING
  p4pramod                       | First: 2024-04-16 | Last: 2024-04-16 | LEAVING
  Subrhamanya                    | First: 2024-04-15 | Last: 2024-04-15 | LEAVING
  belingueres                    | First: 2024-04-11 | Last: 2024-04-11 | LEAVING
  madorb                         | First: 2024-04-03 | Last: 2024-04-03 | LEAVING
  VladislavBakshanskij           | First: 2024-03-25 | Last: 2024-03-25 | LEAVING
  Iam0x                          | First: 2024-03-21 | Last: 2024-03-21 | LEAVING
  pSinghDelaplex                 | First: 2024-03-20 | Last: 2024-03-20 | LEAVING
  sullis                         | First: 2022-06-18 | Last: 2024-03-03 | LEAVING
  prashant-dahiya26              | First: 2024-02-27 | Last: 2024-02-29 | LEAVING
  Shubzz-02                      | First: 2024-02-26 | Last: 2024-02-26 | LEAVING
  kormosp                        | First: 2020-09-17 | Last: 2024-02-19 | LEAVING
  matejbludsky                   | First: 2024-02-14 | Last: 2024-02-14 | LEAVING
  Jolymmiles                     | First: 2024-02-07 | Last: 2024-02-13 | LEAVING
  peraiahkarnam                  | First: 2024-02-13 | Last: 2024-02-13 | LEAVING
  NF10                           | First: 2024-01-31 | Last: 2024-01-31 | LEAVING
  psemeniuk                      | First: 2024-01-26 | Last: 2024-01-26 | LEAVING
  yashasvi2622                   | First: 2024-01-25 | Last: 2024-01-25 | LEAVING
  raford-ice                     | First: 2024-01-22 | Last: 2024-01-22 | LEAVING
  Hildebrand-Ritense             | First: 2023-12-14 | Last: 2024-01-19 | LEAVING
  1198735966                     | First: 2024-01-15 | Last: 2024-01-15 | LEAVING
  aohanhongzhi                   | First: 2023-11-13 | Last: 2024-01-10 | LEAVING
  parzival-space                 | First: 2024-01-10 | Last: 2024-01-10 | LEAVING
  ankur-sharma-maersk            | First: 2024-01-03 | Last: 2024-01-03 | LEAVING
  jgraglia                       | First: 2023-12-20 | Last: 2023-12-20 | LEAVING
  https429                       | First: 2023-12-06 | Last: 2023-12-06 | LEAVING
  ericmaino                      | First: 2023-11-26 | Last: 2023-11-26 | LEAVING
  doveylovey                     | First: 2023-11-25 | Last: 2023-11-25 | LEAVING
  guerricmerleHUG                | First: 2019-03-01 | Last: 2023-11-24 | LEAVING
  andrew2184                     | First: 2023-03-14 | Last: 2023-11-22 | LEAVING
  iliyan-velichkov               | First: 2023-11-21 | Last: 2023-11-21 | LEAVING
  blankplace                     | First: 2023-11-17 | Last: 2023-11-17 | LEAVING
  genuss                         | First: 2022-10-08 | Last: 2023-11-16 | LEAVING
  eugene-sadovsky                | First: 2023-11-14 | Last: 2023-11-14 | LEAVING
  Josep-Lancharro-Indra          | First: 2023-11-10 | Last: 2023-11-10 | LEAVING
  dzahbarov                      | First: 2023-06-05 | Last: 2023-11-04 | LEAVING
  tspoeri                        | First: 2023-11-02 | Last: 2023-11-02 | LEAVING
  SavvasPistikos                 | First: 2023-10-27 | Last: 2023-10-27 | LEAVING
  Shanice731                     | First: 2023-10-25 | Last: 2023-10-25 | LEAVING
  denyskonakhevych               | First: 2023-09-14 | Last: 2023-10-24 | LEAVING
  qxo                            | First: 2021-12-04 | Last: 2023-10-21 | LEAVING
  claitonp                       | First: 2023-10-15 | Last: 2023-10-15 | LEAVING
  hdeadman                       | First: 2023-10-15 | Last: 2023-10-15 | LEAVING
  huangguangshan                 | First: 2023-10-10 | Last: 2023-10-10 | LEAVING
  jianfengqs                     | First: 2023-10-09 | Last: 2023-10-09 | LEAVING
  woodstockain                   | First: 2023-10-09 | Last: 2023-10-09 | LEAVING
  soelvar                        | First: 2023-10-04 | Last: 2023-10-04 | LEAVING
  dengchufeng                    | First: 2023-09-14 | Last: 2023-09-14 | LEAVING
  dominik42                      | First: 2023-09-09 | Last: 2023-09-09 | LEAVING
  Ephenodrom                     | First: 2023-08-16 | Last: 2023-08-16 | LEAVING
  briansjavablog                 | First: 2023-08-04 | Last: 2023-08-10 | LEAVING
  sitamadhavi                    | First: 2023-02-16 | Last: 2023-08-08 | LEAVING
  ydubrouka                      | First: 2023-07-20 | Last: 2023-08-08 | LEAVING
  Peksa                          | First: 2023-08-07 | Last: 2023-08-07 | LEAVING
  aro-franklin                   | First: 2023-08-04 | Last: 2023-08-04 | LEAVING
  ValentineMWAY                  | First: 2023-08-03 | Last: 2023-08-03 | LEAVING
  linzhu-isoftstone              | First: 2023-08-01 | Last: 2023-08-01 | LEAVING
  asasas234                      | First: 2023-07-24 | Last: 2023-07-24 | LEAVING
  erbrecht                       | First: 2023-07-21 | Last: 2023-07-21 | LEAVING
  livk-cloud                     | First: 2022-11-18 | Last: 2023-07-20 | LEAVING
  billyshen26                    | First: 2023-07-20 | Last: 2023-07-20 | LEAVING
  proton5000                     | First: 2023-07-20 | Last: 2023-07-20 | LEAVING
  royallkk                       | First: 2023-07-12 | Last: 2023-07-12 | LEAVING
  p1n93r                         | First: 2023-07-08 | Last: 2023-07-08 | LEAVING
  cn-src                         | First: 2023-07-07 | Last: 2023-07-07 | LEAVING
  iuliiasobolevska               | First: 2022-12-10 | Last: 2023-07-05 | LEAVING
  LaSylv                         | First: 2018-09-23 | Last: 2023-07-04 | LEAVING
  konstantinMinkov               | First: 2023-07-04 | Last: 2023-07-04 | LEAVING
  solagappan                     | First: 2023-06-29 | Last: 2023-06-29 | LEAVING
  guai                           | First: 2023-06-09 | Last: 2023-06-09 | LEAVING
  hamid646m                      | First: 2023-06-09 | Last: 2023-06-09 | LEAVING
  dkirrane                       | First: 2023-06-08 | Last: 2023-06-08 | LEAVING
  fobgochod                      | First: 2023-06-05 | Last: 2023-06-05 | LEAVING
  ngc4579                        | First: 2023-06-05 | Last: 2023-06-05 | LEAVING
  linvaux                        | First: 2023-06-03 | Last: 2023-06-03 | LEAVING
