Since            : 2014-01-01 (users with last contribution before this date are dropped)
Leaving threshold: last contribution before 2025-12-20 (90 days ago)

============================================================
NEWCOMER CLASSIFICATION
============================================================
Total newcomers : 1276
Active          : 12 (1%)
Leaving         : 1264 (99%)

Newcomers:
  ccoltx                         | First: 2020-12-11 | Last: 2021-03-31 | LEAVING
  Kyrie-yx-Irving                | First: 2021-03-29 | Last: 2021-03-29 | LEAVING
  eas5                           | First: 2021-03-24 | Last: 2021-03-24 | LEAVING
  zeljko-mirovic                 | First: 2020-08-26 | Last: 2021-03-22 | LEAVING
  hammadirshad                   | First: 2021-03-20 | Last: 2021-03-21 | LEAVING
  zhaoyifan0528                  | First: 2021-03-20 | Last: 2021-03-20 | LEAVING
  daanishsarguru                 | First: 2021-03-17 | Last: 2021-03-17 | LEAVING
  timpamungkas                   | First: 2021-03-17 | Last: 2021-03-17 | LEAVING
  cjmarling                      | First: 2021-03-13 | Last: 2021-03-13 | LEAVING
  Hccake                         | First: 2021-03-09 | Last: 2021-03-09 | LEAVING
  mask616                        | First: 2021-03-05 | Last: 2021-03-05 | LEAVING
  laskdjlaskdj12                 | First: 2021-03-04 | Last: 2021-03-04 | LEAVING
  Bad-Pop                        | First: 2021-03-01 | Last: 2021-03-01 | LEAVING
  dx1ngy                         | First: 2020-06-17 | Last: 2021-02-26 | LEAVING
  winterpa                       | First: 2021-02-26 | Last: 2021-02-26 | LEAVING
  morrica                        | First: 2021-02-23 | Last: 2021-02-23 | LEAVING
  breun                          | First: 2021-02-22 | Last: 2021-02-22 | LEAVING
  torrespro                      | First: 2021-02-22 | Last: 2021-02-22 | LEAVING
  feliixx                        | First: 2021-02-21 | Last: 2021-02-21 | LEAVING
  djeanprost                     | First: 2021-02-12 | Last: 2021-02-12 | LEAVING
  coryroloff                     | First: 2021-02-12 | Last: 2021-02-12 | LEAVING
  sta-szek                       | First: 2021-02-12 | Last: 2021-02-12 | LEAVING
  zxdposter                      | First: 2021-01-28 | Last: 2021-02-10 | LEAVING
  jonashackt                     | First: 2020-12-22 | Last: 2021-02-07 | LEAVING
  Riggs333                       | First: 2018-01-19 | Last: 2021-02-05 | LEAVING
  soe78                          | First: 2020-11-16 | Last: 2021-01-30 | LEAVING
  mle-enso                       | First: 2020-07-17 | Last: 2021-01-26 | LEAVING
  joeshadbolt                    | First: 2021-01-26 | Last: 2021-01-26 | LEAVING
  batousik                       | First: 2021-01-21 | Last: 2021-01-21 | LEAVING
  persapiens                     | First: 2021-01-12 | Last: 2021-01-14 | LEAVING
  gongshw                        | First: 2021-01-14 | Last: 2021-01-14 | LEAVING
  manusa                         | First: 2021-01-13 | Last: 2021-01-13 | LEAVING
  membersound                    | First: 2017-07-04 | Last: 2021-01-12 | LEAVING
  jcjgithub                      | First: 2021-01-09 | Last: 2021-01-09 | LEAVING
  uqix                           | First: 2021-01-08 | Last: 2021-01-08 | LEAVING
  zorlac                         | First: 2021-01-03 | Last: 2021-01-03 | LEAVING
  kibbled                        | First: 2020-12-30 | Last: 2020-12-30 | LEAVING
  shollander                     | First: 2018-11-29 | Last: 2020-12-22 | LEAVING
  zhangji261                     | First: 2020-12-22 | Last: 2020-12-22 | LEAVING
  yangsuai                       | First: 2020-12-20 | Last: 2020-12-20 | LEAVING
  mikhalchenko-alexander         | First: 2020-12-13 | Last: 2020-12-13 | LEAVING
  andreashouben                  | First: 2020-12-11 | Last: 2020-12-11 | LEAVING
  niriak                         | First: 2020-12-11 | Last: 2020-12-11 | LEAVING
  zhousheng2                     | First: 2020-12-11 | Last: 2020-12-11 | LEAVING
  asdxiaoqex                     | First: 2020-12-10 | Last: 2020-12-10 | LEAVING
  izeye                          | First: 2014-12-18 | Last: 2020-12-08 | LEAVING
  mrdapotts                      | First: 2020-12-04 | Last: 2020-12-04 | LEAVING
  18670032796                    | First: 2020-12-03 | Last: 2020-12-03 | LEAVING
  Xyaren                         | First: 2020-11-27 | Last: 2020-11-27 | LEAVING
  mangal07                       | First: 2020-11-20 | Last: 2020-11-24 | LEAVING
  ronnberg                       | First: 2017-04-20 | Last: 2020-11-19 | LEAVING
  kaplan441                      | First: 2020-11-19 | Last: 2020-11-19 | LEAVING
  lingting                       | First: 2020-11-17 | Last: 2020-11-17 | LEAVING
  KarthikLearn                   | First: 2020-11-10 | Last: 2020-11-10 | LEAVING
  njoysubho                      | First: 2020-11-10 | Last: 2020-11-10 | LEAVING
  chao-huang                     | First: 2020-11-09 | Last: 2020-11-09 | LEAVING
  karsunke                       | First: 2020-07-27 | Last: 2020-11-05 | LEAVING
  binary-park                    | First: 2020-11-05 | Last: 2020-11-05 | LEAVING
  kdvolder                       | First: 2020-11-02 | Last: 2020-11-02 | LEAVING
  AnthonyNTK                     | First: 2020-10-24 | Last: 2020-10-24 | LEAVING
  Ayden-Franklin                 | First: 2019-12-10 | Last: 2020-10-20 | LEAVING
  developers-youcong             | First: 2020-10-19 | Last: 2020-10-19 | LEAVING
  binarywang                     | First: 2020-05-22 | Last: 2020-10-15 | LEAVING
  arbing                         | First: 2020-10-10 | Last: 2020-10-10 | LEAVING
  silenyc                        | First: 2020-09-25 | Last: 2020-09-25 | LEAVING
  magicsgxie                     | First: 2018-06-22 | Last: 2020-09-21 | LEAVING
  HaojunRen                      | First: 2018-10-19 | Last: 2020-09-11 | LEAVING
  SledgeHammer01                 | First: 2020-07-04 | Last: 2020-09-10 | LEAVING
  Docjones                       | First: 2020-09-10 | Last: 2020-09-10 | LEAVING
  gigermocas                     | First: 2020-06-30 | Last: 2020-09-08 | LEAVING
  DrSequence                     | First: 2020-09-08 | Last: 2020-09-08 | LEAVING
  zhhaojie                       | First: 2020-09-02 | Last: 2020-09-02 | LEAVING
  messiGao                       | First: 2020-09-02 | Last: 2020-09-02 | LEAVING
  akuma8                         | First: 2020-08-30 | Last: 2020-08-30 | LEAVING
  bitbrain                       | First: 2020-08-22 | Last: 2020-08-22 | LEAVING
  IcyLemon                       | First: 2020-08-20 | Last: 2020-08-20 | LEAVING
  rkettelerij                    | First: 2020-08-20 | Last: 2020-08-20 | LEAVING
  wanghwtaiji                    | First: 2020-08-19 | Last: 2020-08-19 | LEAVING
  AlexBatt                       | First: 2020-08-17 | Last: 2020-08-17 | LEAVING
  kcsap                          | First: 2020-08-16 | Last: 2020-08-16 | LEAVING
  dassebi                        | First: 2020-08-13 | Last: 2020-08-13 | LEAVING
  ETUFO                          | First: 2020-08-07 | Last: 2020-08-07 | LEAVING
  somera                         | First: 2020-08-04 | Last: 2020-08-04 | LEAVING
  timogruetter1981               | First: 2020-08-03 | Last: 2020-08-03 | LEAVING
  lshz0088                       | First: 2020-07-31 | Last: 2020-07-31 | LEAVING
  missfmaster                    | First: 2020-07-21 | Last: 2020-07-21 | LEAVING
  jhartotr                       | First: 2019-11-25 | Last: 2020-07-20 | LEAVING
  ggree1                         | First: 2020-07-08 | Last: 2020-07-08 | LEAVING
  GianniGiglio                   | First: 2020-07-06 | Last: 2020-07-06 | LEAVING
  ddcruver                       | First: 2019-04-25 | Last: 2020-06-30 | LEAVING
  fvclaus                        | First: 2020-06-29 | Last: 2020-06-29 | LEAVING
  dersvenhesse                   | First: 2020-06-05 | Last: 2020-06-27 | LEAVING
  laffuste                       | First: 2020-06-25 | Last: 2020-06-25 | LEAVING
  ShenLiangwei                   | First: 2020-06-23 | Last: 2020-06-23 | LEAVING
  MatanRubin                     | First: 2020-06-17 | Last: 2020-06-22 | LEAVING
  rvp-cpu                        | First: 2020-06-18 | Last: 2020-06-18 | LEAVING
  vanniktech                     | First: 2020-06-18 | Last: 2020-06-18 | LEAVING
  jintaocai                      | First: 2020-06-14 | Last: 2020-06-16 | LEAVING
  mmoayyed                       | First: 2018-10-20 | Last: 2020-06-12 | LEAVING
  tooms4444                      | First: 2020-06-12 | Last: 2020-06-12 | LEAVING
  tuxknight                      | First: 2020-06-10 | Last: 2020-06-10 | LEAVING
  asibross                       | First: 2018-07-31 | Last: 2020-06-05 | LEAVING
  halatas                        | First: 2020-06-05 | Last: 2020-06-05 | LEAVING
  sepgh                          | First: 2020-06-04 | Last: 2020-06-04 | LEAVING
  mason276752                    | First: 2020-05-31 | Last: 2020-05-31 | LEAVING
  Mr-LiuDC                       | First: 2020-05-30 | Last: 2020-05-30 | LEAVING
  romge                          | First: 2020-05-27 | Last: 2020-05-27 | LEAVING
  arunkpatra                     | First: 2015-11-10 | Last: 2020-05-20 | LEAVING
  SingularityZed                 | First: 2020-05-19 | Last: 2020-05-19 | LEAVING
  derekzhan                      | First: 2020-05-19 | Last: 2020-05-19 | LEAVING
  CJY0208                        | First: 2020-05-18 | Last: 2020-05-18 | LEAVING
  bratwurzt                      | First: 2020-04-30 | Last: 2020-05-15 | LEAVING
  lukasz-kaminski                | First: 2016-11-14 | Last: 2020-05-14 | LEAVING
  mciumac                        | First: 2020-04-16 | Last: 2020-05-14 | LEAVING
  csloter                        | First: 2020-05-14 | Last: 2020-05-14 | LEAVING
  codingDriver                   | First: 2019-04-24 | Last: 2020-05-13 | LEAVING
  brianrodecap                   | First: 2020-05-12 | Last: 2020-05-12 | LEAVING
  mehiel                         | First: 2020-05-07 | Last: 2020-05-11 | LEAVING
  FutaoSmile                     | First: 2020-05-09 | Last: 2020-05-09 | LEAVING
  aeron1sh                       | First: 2020-05-07 | Last: 2020-05-07 | LEAVING
  wang-chengchao                 | First: 2020-04-30 | Last: 2020-04-30 | LEAVING
  jotsinghdhillon                | First: 2020-04-28 | Last: 2020-04-28 | LEAVING
  tb8367085                      | First: 2020-04-28 | Last: 2020-04-28 | LEAVING
  DesFieldCorbett                | First: 2020-04-27 | Last: 2020-04-27 | LEAVING
  Birthright50                   | First: 2020-04-25 | Last: 2020-04-25 | LEAVING
  Angahran                       | First: 2020-04-21 | Last: 2020-04-21 | LEAVING
  lambliesdown                   | First: 2020-01-25 | Last: 2020-04-20 | LEAVING
  rebornkrunner                  | First: 2020-04-18 | Last: 2020-04-18 | LEAVING
  feiquan666                     | First: 2020-04-09 | Last: 2020-04-16 | LEAVING
  FrogDevelopper                 | First: 2020-04-15 | Last: 2020-04-15 | LEAVING
  benmlahzied                    | First: 2020-04-13 | Last: 2020-04-13 | LEAVING
  kqkdChen                       | First: 2020-04-10 | Last: 2020-04-10 | LEAVING
  ElarbiMohamedAymen             | First: 2020-04-09 | Last: 2020-04-09 | LEAVING
  heykb                          | First: 2020-04-02 | Last: 2020-04-02 | LEAVING
  kpouer                         | First: 2020-04-02 | Last: 2020-04-02 | LEAVING
  andresoviedo                   | First: 2018-08-16 | Last: 2020-03-29 | LEAVING
  MasterLi                       | First: 2020-03-25 | Last: 2020-03-25 | LEAVING
  seolmin-lee                    | First: 2020-03-25 | Last: 2020-03-25 | LEAVING
  AravindPalani95                | First: 2020-03-19 | Last: 2020-03-20 | LEAVING
  xiaoxipangren                  | First: 2020-03-19 | Last: 2020-03-19 | LEAVING
  john1337                       | First: 2020-03-17 | Last: 2020-03-17 | LEAVING
  sky266                         | First: 2020-03-13 | Last: 2020-03-13 | LEAVING
  tapbooth                       | First: 2020-03-13 | Last: 2020-03-13 | LEAVING
  bwcx-jzy                       | First: 2020-03-12 | Last: 2020-03-12 | LEAVING
  robert2411                     | First: 2020-03-12 | Last: 2020-03-12 | LEAVING
  LoveMyPyj                      | First: 2020-03-10 | Last: 2020-03-10 | LEAVING
  fionera                        | First: 2018-09-23 | Last: 2020-03-05 | LEAVING
  aeasylife                      | First: 2020-03-05 | Last: 2020-03-05 | LEAVING
  mariobruck                     | First: 2020-03-05 | Last: 2020-03-05 | LEAVING
  vgaddavcg                      | First: 2020-03-02 | Last: 2020-03-02 | LEAVING
  mrmercc                        | First: 2020-02-28 | Last: 2020-02-28 | LEAVING
  tokuhirom                      | First: 2020-02-25 | Last: 2020-02-27 | LEAVING
  agorges                        | First: 2020-02-27 | Last: 2020-02-27 | LEAVING
  cgew85                         | First: 2020-02-26 | Last: 2020-02-26 | LEAVING
  Ask149                         | First: 2019-10-07 | Last: 2020-02-25 | LEAVING
  ZuevKirill95                   | First: 2019-12-14 | Last: 2020-02-23 | LEAVING
  zzlxf                          | First: 2020-02-20 | Last: 2020-02-20 | LEAVING
  jmpuyo                         | First: 2020-02-19 | Last: 2020-02-19 | LEAVING
  mehdikhelif                    | First: 2020-02-19 | Last: 2020-02-19 | LEAVING
  marcosvidolin                  | First: 2020-02-13 | Last: 2020-02-13 | LEAVING
  r-brown                        | First: 2020-02-07 | Last: 2020-02-07 | LEAVING
  YinHaoDev                      | First: 2020-02-04 | Last: 2020-02-04 | LEAVING
  andyd2002                      | First: 2018-02-16 | Last: 2020-02-01 | LEAVING
  cschockaert                    | First: 2020-01-31 | Last: 2020-01-31 | LEAVING
  GiTweeker                      | First: 2020-01-26 | Last: 2020-01-26 | LEAVING
  rowsheet                       | First: 2020-01-20 | Last: 2020-01-20 | LEAVING
  ChunMengLu                     | First: 2020-01-19 | Last: 2020-01-19 | LEAVING
  darrellsnow                    | First: 2020-01-17 | Last: 2020-01-17 | LEAVING
  retevastum                     | First: 2020-01-15 | Last: 2020-01-15 | LEAVING
  agamgupta6                     | First: 2020-01-08 | Last: 2020-01-08 | LEAVING
  DhavalShewale                  | First: 2020-01-06 | Last: 2020-01-06 | LEAVING
  stephanecot                    | First: 2020-01-05 | Last: 2020-01-05 | LEAVING
  zhanglei-1987                  | First: 2019-07-19 | Last: 2020-01-03 | LEAVING
  aikeep                         | First: 2020-01-02 | Last: 2020-01-02 | LEAVING
  andyzhaozhao                   | First: 2019-12-24 | Last: 2019-12-26 | LEAVING
  ChenZheOnePiece                | First: 2019-12-24 | Last: 2019-12-24 | LEAVING
  yachi666                       | First: 2019-12-20 | Last: 2019-12-20 | LEAVING
  cash1981                       | First: 2019-12-13 | Last: 2019-12-13 | LEAVING
  davgia                         | First: 2019-12-11 | Last: 2019-12-11 | LEAVING
  zjy5755202                     | First: 2019-12-11 | Last: 2019-12-11 | LEAVING
  michformanek                   | First: 2019-03-11 | Last: 2019-12-09 | LEAVING
  ameyg7                         | First: 2019-12-06 | Last: 2019-12-06 | LEAVING
  yandersonlmi                   | First: 2019-12-06 | Last: 2019-12-06 | LEAVING
  beiketianzhuang                | First: 2019-12-05 | Last: 2019-12-05 | LEAVING
  yleguern                       | First: 2018-11-16 | Last: 2019-12-04 | LEAVING
  thangavel-projects             | First: 2019-12-04 | Last: 2019-12-04 | LEAVING
  djgeary                        | First: 2018-07-13 | Last: 2019-12-03 | LEAVING
  JSON-ZHOUHAI                   | First: 2019-12-03 | Last: 2019-12-03 | LEAVING
  lltx                           | First: 2019-11-28 | Last: 2019-11-28 | LEAVING
  godlessroger                   | First: 2019-11-27 | Last: 2019-11-27 | LEAVING
  pixtim                         | First: 2019-11-27 | Last: 2019-11-27 | LEAVING
  nikitsenka                     | First: 2019-11-26 | Last: 2019-11-26 | LEAVING
  ioxiaowei                      | First: 2019-11-23 | Last: 2019-11-24 | LEAVING
  skosijer                       | First: 2019-09-06 | Last: 2019-11-22 | LEAVING
  salavessa                      | First: 2019-11-22 | Last: 2019-11-22 | LEAVING
  heka-pulsen                    | First: 2019-11-21 | Last: 2019-11-21 | LEAVING
  salexandrs                     | First: 2019-11-18 | Last: 2019-11-18 | LEAVING
  hehaipeng                      | First: 2019-11-16 | Last: 2019-11-16 | LEAVING
  ReuDa                          | First: 2019-10-08 | Last: 2019-11-15 | LEAVING
  Adhders                        | First: 2019-11-01 | Last: 2019-11-04 | LEAVING
  ygsama                         | First: 2019-11-04 | Last: 2019-11-04 | LEAVING
  taasjord                       | First: 2016-10-03 | Last: 2019-11-03 | LEAVING
  springboot-plus                | First: 2019-10-23 | Last: 2019-11-02 | LEAVING
  vonrosen                       | First: 2019-10-26 | Last: 2019-10-26 | LEAVING
  yaoyuncn                       | First: 2019-10-24 | Last: 2019-10-24 | LEAVING
  thanhphi0401                   | First: 2019-10-22 | Last: 2019-10-22 | LEAVING
  umeshupawar                    | First: 2019-10-20 | Last: 2019-10-21 | LEAVING
  lnfdxwl                        | First: 2019-10-21 | Last: 2019-10-21 | LEAVING
  mdeverdelhan                   | First: 2019-10-21 | Last: 2019-10-21 | LEAVING
  HelloJavaWorld123              | First: 2019-10-18 | Last: 2019-10-18 | LEAVING
  lyn1985                        | First: 2019-10-17 | Last: 2019-10-17 | LEAVING
  yuankeyan                      | First: 2019-10-15 | Last: 2019-10-15 | LEAVING
  FJiayang                       | First: 2019-10-13 | Last: 2019-10-13 | LEAVING
  imod                           | First: 2016-04-27 | Last: 2019-10-08 | LEAVING
  tscrypter                      | First: 2019-10-02 | Last: 2019-10-02 | LEAVING
  zznnqq210                      | First: 2019-09-27 | Last: 2019-09-27 | LEAVING
  zjf2671                        | First: 2019-09-26 | Last: 2019-09-26 | LEAVING
  ffeiko                         | First: 2019-09-23 | Last: 2019-09-23 | LEAVING
  jrobison153                    | First: 2019-09-23 | Last: 2019-09-23 | LEAVING
  simonbasle                     | First: 2019-09-19 | Last: 2019-09-19 | LEAVING
  elijah-pl                      | First: 2019-09-18 | Last: 2019-09-18 | LEAVING
  duffy356                       | First: 2019-09-17 | Last: 2019-09-17 | LEAVING
  calaveraInfo                   | First: 2019-09-16 | Last: 2019-09-16 | LEAVING
  fillert                        | First: 2019-09-13 | Last: 2019-09-13 | LEAVING
  archine                        | First: 2019-09-12 | Last: 2019-09-12 | LEAVING
  luodongseu                     | First: 2019-09-12 | Last: 2019-09-12 | LEAVING
  wildhai                        | First: 2019-09-11 | Last: 2019-09-11 | LEAVING
  dtitov                         | First: 2019-09-06 | Last: 2019-09-09 | LEAVING
  shnlb2006                      | First: 2019-09-06 | Last: 2019-09-06 | LEAVING
  Shawn-Yang-AWX                 | First: 2019-09-06 | Last: 2019-09-06 | LEAVING
  swamuser                       | First: 2019-09-06 | Last: 2019-09-06 | LEAVING
  fenghualiusha                  | First: 2019-09-03 | Last: 2019-09-03 | LEAVING
  kabasakalis                    | First: 2019-08-25 | Last: 2019-08-25 | LEAVING
  dotpanic                       | First: 2019-08-23 | Last: 2019-08-23 | LEAVING
  sjlmsj                         | First: 2019-08-21 | Last: 2019-08-21 | LEAVING
  AnsonCong                      | First: 2019-08-14 | Last: 2019-08-14 | LEAVING
  raulvillalbamedina             | First: 2018-12-21 | Last: 2019-08-13 | LEAVING
  Nyamkhuub                      | First: 2019-07-26 | Last: 2019-08-07 | LEAVING
  pierrickrouxel                 | First: 2019-08-07 | Last: 2019-08-07 | LEAVING
  rockysingh                     | First: 2019-08-07 | Last: 2019-08-07 | LEAVING
  zqr95518                       | First: 2018-12-03 | Last: 2019-08-06 | LEAVING
  hlg212                         | First: 2019-08-06 | Last: 2019-08-06 | LEAVING
  zhujiebing                     | First: 2019-07-25 | Last: 2019-08-04 | LEAVING
  ogennadi                       | First: 2019-08-03 | Last: 2019-08-03 | LEAVING
  weichun-wang                   | First: 2019-08-01 | Last: 2019-08-01 | LEAVING
  Mickey84562                    | First: 2019-07-30 | Last: 2019-07-30 | LEAVING
  Pashulity                      | First: 2019-07-22 | Last: 2019-07-22 | LEAVING
  sgautrin                       | First: 2019-07-22 | Last: 2019-07-22 | LEAVING
  sverhagen                      | First: 2019-07-19 | Last: 2019-07-20 | LEAVING
  ashishroy077                   | First: 2019-07-19 | Last: 2019-07-19 | LEAVING
  enesify                        | First: 2019-07-19 | Last: 2019-07-19 | LEAVING
  kurly09                        | First: 2019-07-14 | Last: 2019-07-15 | LEAVING
  michaelmcfadyensky             | First: 2019-07-11 | Last: 2019-07-14 | LEAVING
  king-john                      | First: 2019-07-13 | Last: 2019-07-13 | LEAVING
  thomasNDS                      | First: 2019-07-12 | Last: 2019-07-12 | LEAVING
  ozkanpakdil                    | First: 2019-01-20 | Last: 2019-07-06 | LEAVING
  bjoernb94                      | First: 2018-10-09 | Last: 2019-07-04 | LEAVING
  beijixing1745                  | First: 2019-07-01 | Last: 2019-07-01 | LEAVING
  ernakulgoyal                   | First: 2018-04-18 | Last: 2019-06-28 | LEAVING
  igoragueme                     | First: 2019-06-28 | Last: 2019-06-28 | LEAVING
  LinggaAskaEdo                  | First: 2019-06-26 | Last: 2019-06-26 | LEAVING
  jiangxianboy                   | First: 2019-06-26 | Last: 2019-06-26 | LEAVING
  ditdajou                       | First: 2019-06-25 | Last: 2019-06-25 | LEAVING
  athishsreeram                  | First: 2019-06-19 | Last: 2019-06-19 | LEAVING
  jonnauday                      | First: 2019-06-18 | Last: 2019-06-18 | LEAVING
  panchenko                      | First: 2019-06-18 | Last: 2019-06-18 | LEAVING
  shaileshpratapsingh            | First: 2019-06-12 | Last: 2019-06-12 | LEAVING
  lightoze                       | First: 2015-11-16 | Last: 2019-06-04 | LEAVING
  ezraroi                        | First: 2017-01-05 | Last: 2019-06-04 | LEAVING
  davidnewcomb                   | First: 2019-05-31 | Last: 2019-05-31 | LEAVING
  dadangeuy                      | First: 2019-05-29 | Last: 2019-05-29 | LEAVING
  biq12                          | First: 2019-05-26 | Last: 2019-05-26 | LEAVING
  coffman21                      | First: 2019-05-25 | Last: 2019-05-25 | LEAVING
  Sarvesh-D                      | First: 2018-06-14 | Last: 2019-05-22 | LEAVING
  azizabah                       | First: 2017-09-18 | Last: 2019-05-20 | LEAVING
  neochiri                       | First: 2019-05-20 | Last: 2019-05-20 | LEAVING
  sureshpw                       | First: 2019-05-18 | Last: 2019-05-18 | LEAVING
  1sangram                       | First: 2019-05-18 | Last: 2019-05-18 | LEAVING
  zurhan                         | First: 2018-07-18 | Last: 2019-05-16 | LEAVING
  steve-oakey                    | First: 2015-05-01 | Last: 2019-05-15 | LEAVING
  SonSeungWoo                    | First: 2019-05-15 | Last: 2019-05-15 | LEAVING
  rjsuzuki                       | First: 2019-05-15 | Last: 2019-05-15 | LEAVING
  zwdgit                         | First: 2019-05-13 | Last: 2019-05-13 | LEAVING
  swiftech                       | First: 2019-05-10 | Last: 2019-05-10 | LEAVING
  remmeier                       | First: 2019-05-08 | Last: 2019-05-08 | LEAVING
  Sesshoumarusama                | First: 2019-04-30 | Last: 2019-04-30 | LEAVING
  ziebapawel                     | First: 2019-04-30 | Last: 2019-04-30 | LEAVING
  guohaijian                     | First: 2019-04-28 | Last: 2019-04-28 | LEAVING
  jingshenbusi6530               | First: 2019-04-26 | Last: 2019-04-26 | LEAVING
  BeerNapTime                    | First: 2019-04-17 | Last: 2019-04-17 | LEAVING
  tejas-rane                     | First: 2019-04-11 | Last: 2019-04-11 | LEAVING
  aantono                        | First: 2016-06-10 | Last: 2019-04-05 | LEAVING
  cristian-balan                 | First: 2019-04-05 | Last: 2019-04-05 | LEAVING
  jasmine4y                      | First: 2019-04-04 | Last: 2019-04-04 | LEAVING
  FedyaLutkovski                 | First: 2019-04-03 | Last: 2019-04-03 | LEAVING
  yugijiudai                     | First: 2019-03-30 | Last: 2019-03-30 | LEAVING
  chh315                         | First: 2019-03-27 | Last: 2019-03-27 | LEAVING
  captainXsander                 | First: 2019-03-22 | Last: 2019-03-22 | LEAVING
  crea1                          | First: 2019-03-22 | Last: 2019-03-22 | LEAVING
  cschoell                       | First: 2019-03-22 | Last: 2019-03-22 | LEAVING
  y-luis-rojo                    | First: 2017-12-28 | Last: 2019-03-16 | LEAVING
  mrtinkz                        | First: 2019-03-12 | Last: 2019-03-12 | LEAVING
  bosiam                         | First: 2019-03-11 | Last: 2019-03-11 | LEAVING
  klopfdreh                      | First: 2019-03-06 | Last: 2019-03-08 | LEAVING
  cuiyingnan                     | First: 2019-03-08 | Last: 2019-03-08 | LEAVING
  paulvi                         | First: 2019-01-15 | Last: 2019-03-07 | LEAVING
  xiongyayun428                  | First: 2019-03-06 | Last: 2019-03-06 | LEAVING
  LEESEUNGIK                     | First: 2019-03-04 | Last: 2019-03-04 | LEAVING
  naturalyui                     | First: 2019-03-04 | Last: 2019-03-04 | LEAVING
  dakotamaker                    | First: 2019-03-01 | Last: 2019-03-01 | LEAVING
  tomdantuit                     | First: 2017-11-17 | Last: 2019-02-28 | LEAVING
  Vincent-ZHENG-008              | First: 2019-02-27 | Last: 2019-02-27 | LEAVING
  xuande                         | First: 2019-02-25 | Last: 2019-02-26 | LEAVING
  tutuerhao                      | First: 2019-02-25 | Last: 2019-02-25 | LEAVING
  SoftwareKing                   | First: 2019-01-29 | Last: 2019-02-24 | LEAVING
  lucash                         | First: 2019-02-24 | Last: 2019-02-24 | LEAVING
  gxl191911                      | First: 2019-02-13 | Last: 2019-02-22 | LEAVING
  alexanderehi                   | First: 2019-02-21 | Last: 2019-02-21 | LEAVING
  itsPoo                         | First: 2019-02-20 | Last: 2019-02-20 | LEAVING
  jarvis0325                     | First: 2019-02-18 | Last: 2019-02-18 | LEAVING
  Ben-Mark                       | First: 2019-02-16 | Last: 2019-02-16 | LEAVING
  marcin-kasinski                | First: 2019-02-15 | Last: 2019-02-15 | LEAVING
  favetelinguis                  | First: 2019-02-13 | Last: 2019-02-13 | LEAVING
  only1geordie                   | First: 2019-02-13 | Last: 2019-02-13 | LEAVING
  Vibhor116                      | First: 2019-02-12 | Last: 2019-02-12 | LEAVING
  breneb                         | First: 2019-02-04 | Last: 2019-02-04 | LEAVING
  RanjithMohandasss              | First: 2019-02-01 | Last: 2019-02-01 | LEAVING
  Kishn0211                      | First: 2019-01-11 | Last: 2019-01-29 | LEAVING
  t-beckmann                     | First: 2019-01-29 | Last: 2019-01-29 | LEAVING
  andrejleitner                  | First: 2019-01-28 | Last: 2019-01-28 | LEAVING
  jbedalov                       | First: 2019-01-25 | Last: 2019-01-25 | LEAVING
  lohcve                         | First: 2019-01-25 | Last: 2019-01-25 | LEAVING
  Thabizolo                      | First: 2019-01-23 | Last: 2019-01-23 | LEAVING
  lgd-java                       | First: 2019-01-23 | Last: 2019-01-23 | LEAVING
  rhosman                        | First: 2016-08-22 | Last: 2019-01-22 | LEAVING
  shershen08                     | First: 2019-01-18 | Last: 2019-01-18 | LEAVING
  AshwinNikam                    | First: 2019-01-17 | Last: 2019-01-17 | LEAVING
  TruthBean                      | First: 2019-01-15 | Last: 2019-01-15 | LEAVING
  godpit                         | First: 2019-01-09 | Last: 2019-01-09 | LEAVING
  zzialml                        | First: 2018-12-18 | Last: 2019-01-09 | LEAVING
  matzegebbe                     | First: 2018-07-04 | Last: 2019-01-08 | LEAVING
  aweigold                       | First: 2018-11-12 | Last: 2019-01-06 | LEAVING
  xiangtianyu                    | First: 2019-01-04 | Last: 2019-01-04 | LEAVING
  gokeep-projects                | First: 2018-12-18 | Last: 2019-01-03 | LEAVING
  crazyman2010                   | First: 2019-01-03 | Last: 2019-01-03 | LEAVING
  spdeepak                       | First: 2019-01-03 | Last: 2019-01-03 | LEAVING
  youzipi                        | First: 2019-01-03 | Last: 2019-01-03 | LEAVING
  riba2101                       | First: 2019-01-01 | Last: 2019-01-01 | LEAVING
  my8090                         | First: 2018-12-29 | Last: 2018-12-29 | LEAVING
  movitz-s                       | First: 2018-12-28 | Last: 2018-12-28 | LEAVING
  zhaolin81                      | First: 2018-12-28 | Last: 2018-12-28 | LEAVING
  wzlee                          | First: 2018-09-25 | Last: 2018-12-25 | LEAVING
  yevtsy                         | First: 2018-10-11 | Last: 2018-12-20 | LEAVING
  TarunBhateja                   | First: 2018-12-19 | Last: 2018-12-19 | LEAVING
  robinroos                      | First: 2018-12-19 | Last: 2018-12-19 | LEAVING
  jiangyitao                     | First: 2018-12-18 | Last: 2018-12-18 | LEAVING
  zhongql                        | First: 2018-12-17 | Last: 2018-12-17 | LEAVING
  xiaobai1226                    | First: 2018-12-16 | Last: 2018-12-16 | LEAVING
  aramperes                      | First: 2018-12-15 | Last: 2018-12-15 | LEAVING
  holicc                         | First: 2018-12-14 | Last: 2018-12-14 | LEAVING
