Previous period: 2022-03-14 to 2024-03-13
Current period: 2024-03-13 to 2026-03-13

Fetching user first contributions...
Fetching activities since 2022-03-14...

============================================================
RETENTION OF NEWCOMERS
============================================================
Total newcomers: 157
Retained: 5
Retention rate: 3.2%

Newcomers:
  Shanice731           | First: 2023-10-25 | Latest: 2023-10-25 | Current activities:  0 | ❌ Not retained
  Shubzz-02            | First: 2024-02-26 | Latest: 2024-02-26 | Current activities:  0 | ❌ Not retained
  Tancen               | First: 2023-05-06 | Latest: 2023-05-06 | Current activities:  0 | ❌ Not retained
  TinyZzh              | First: 2022-10-26 | Latest: 2022-10-26 | Current activities:  0 | ❌ Not retained
  ValentineMWAY        | First: 2023-08-03 | Latest: 2023-08-03 | Current activities:  0 | ❌ Not retained
  VenkateshSrini       | First: 2022-09-29 | Latest: 2022-09-29 | Current activities:  0 | ❌ Not retained
  adsinghnet           | First: 2023-03-18 | Latest: 2023-03-18 | Current activities:  0 | ❌ Not retained
  andmer               | First: 2023-03-02 | Latest: 2023-03-02 | Current activities:  0 | ❌ Not retained
  ankur-sharma-maersk  | First: 2024-01-03 | Latest: 2024-01-03 | Current activities:  0 | ❌ Not retained
  aro-franklin         | First: 2023-08-04 | Latest: 2023-08-04 | Current activities:  0 | ❌ Not retained
  asasas234            | First: 2023-07-24 | Latest: 2023-07-24 | Current activities:  0 | ❌ Not retained
  azemliankin          | First: 2022-12-16 | Latest: 2022-12-16 | Current activities:  0 | ❌ Not retained
  billyshen26          | First: 2023-07-20 | Latest: 2023-07-20 | Current activities:  0 | ❌ Not retained
  bjab                 | First: 2023-01-11 | Latest: 2023-01-11 | Current activities:  0 | ❌ Not retained
  blankplace           | First: 2023-11-17 | Latest: 2023-11-17 | Current activities:  0 | ❌ Not retained
  braunsonm            | First: 2022-10-12 | Latest: 2022-10-12 | Current activities:  0 | ❌ Not retained
  chazhiguo            | First: 2023-04-20 | Latest: 2023-04-20 | Current activities:  0 | ❌ Not retained
